id_stasiun,a_pm10,a_pm25,a_so2,a_co,a_o3,a_no2,a_hc,nama,kota,provinsi,p3e,time_z,index_ISPU,tanggal,Waktu
BENGKULU,10.75,7.0,5.88,1332.38,125.94,89.6,,Bengkulu Singaran Pati,Bengkulu,Bengkulu,SUMATERA,WIB,54.0,2024-02-26,13:00:00
BOGOR,29.62,18.54,20.58,446.04,72.75,25.56,24.94,Kota Bogor Tanah Sereal,Bogor,Jawa Barat,JAWA,WIB,54.0,2024-02-26,13:00:00
GORONTALO,28.23,17.08,24.0,1115.29,20.38,22.96,26.94,Gorontalo Taman Kota,Gorontalo,Gorontalo,SULAWESI_MALUKU,WITA,52.0,2024-02-26,14:00:00
MAKASSAR,5.46,4.92,47.06,984.56,46.62,55.5,46.54,Makassar Ujung Pandang,Makassar,Sulawesi Selatan,SULAWESI_MALUKU,WITA,51.0,2024-02-26,14:00:00
PALEMBANG,0.0,15.62,27.08,1044.1,21.9,22.0,34.06,Palembang Bukit Kecil,Palembang,Sumatera Selatan,SUMATERA,WIB,50.0,2024-02-26,13:00:00
MANOKWARI,32.54,15.08,52.98,1824.75,50.54,80.54,6.15,Manokwari Gn. Sowi,Manokwari,Papua Barat,PAPUA,WIT,50.0,2024-02-26,15:00:00
SERANG,21.65,15.15,30.88,1282.31,53.92,24.17,29.04,Serang Sumurpecung,Serang,Banten,JAWA,WIB,49.0,2024-02-26,13:00:00
KABUPATEN_SIAK,27.44,14.92,27.06,269.17,105.17,33.73,5.45,Siak,Siak,Riau,SUMATERA,WIB,48.0,2024-02-26,13:00:00
KABUPATEN_INDRAGIRIHILIR,15.58,14.21,10.56,610.67,29.0,40.52,2.11,Kabupaten Indragiri Hilir,Kabupaten Indragiri Hilir,Riau,SUMATERA,WIB,46.0,2024-02-26,13:00:00
PONTIANAK,14.77,13.81,23.5,426.83,41.58,27.19,0.0,Pontianak Tenggara,Pontianak,Kalimantan Barat,KALIMANTAN,WIB,45.0,2024-02-26,13:00:00
MAMUJU,5.81,2.73,30.44,1152.04,15.79,29.02,39.83,Mamuju Ahmad Kirang,Mamuju,Sulawesi Barat,SULAWESI_MALUKU,WITA,44.0,2024-02-26,14:00:00
SAMARINDA,18.6,5.06,6.56,2768.44,53.75,68.52,6.08,Samarinda Taman Segiri,Samarinda,Kalimantan Timur,KALIMANTAN,WITA,43.0,2024-02-26,14:00:00
